nan;nan;nan;nan;nan;nan;nan;TVR;Quantity
nan;nan;nan;nan;nan;nan;nan;all 18+;all 18+
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;13:15:00 - 13:15:59;25.01.2020;0,3891;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;13:50:00 - 13:50:59;25.01.2020;0,2561;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;14:39:00 - 14:39:59;25.01.2020;0,2793;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;18:33:00 - 18:33:59;25.01.2020;1,0415;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;19:34:00 - 19:34:59;25.01.2020;0,3228;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;19:54:00 - 19:54:59;25.01.2020;0,3014;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;20:11:00 - 20:11:59;25.01.2020;0,1805;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;21:30:00 - 21:30:59;25.01.2020;0,2329;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;22:33:00 - 22:33:59;25.01.2020;0,2423;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;22:50:00 - 22:50:59;25.01.2020;0,1772;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;25:11:00 - 25:11:59;25.01.2020;0,0607;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;26:28:00 - 26:28:59;25.01.2020;0,0359;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;27:51:00 - 27:51:59;25.01.2020;0,0527;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;28:49:00 - 28:49:59;25.01.2020;0,0394;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;09:08:00 - 09:08:59;25.01.2020;0,0326;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;09:28:00 - 09:28:59;25.01.2020;0,0127;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;09:49:00 - 09:49:59;25.01.2020;0,0433;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;10:08:00 - 10:08:59;25.01.2020;0,0170;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;10:29:00 - 10:29:59;25.01.2020;0,0156;1
