2716;2X2 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;off;08.01.2020;0,0250;0,0000;3,0000;3,0000
2716;2X2 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;5,5791;1,0669;53,0000;53,0000
2742;МУЛЬТ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;off;08.01.2020;0,1685;0,0000;3,0000;3,0000
2742;МУЛЬТ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;3,3213;2,9483;20,0000;20,0000
4536;СТС LOVE (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;off;08.01.2020;0,0039;0,0000;3,0000;3,0000
4536;СТС LOVE (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;2,6273;2,3528;60,0000;60,0000
4536;СТС LOVE (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;off;08.01.2020;0,0020;0,0000;1,0000;1,0000
4536;СТС LOVE (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;pr;08.01.2020;0,3205;0,0000;8,0000;8,0000
5297;КАНАЛ DISNEY (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;off;08.01.2020;0,0495;0,0000;3,0000;3,0000
5297;КАНАЛ DISNEY (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;19,4019;11,8034;64,0000;64,0000
5297;КАНАЛ DISNEY (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;pr;08.01.2020;4,8793;2,1339;17,0000;17,0000
5673;МУЗ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;off;08.01.2020;0,1896;0,0000;3,0000;3,0000
5673;МУЗ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;10,5784;9,3462;51,0000;51,0000
6638;КАРУСЕЛЬ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;off;08.01.2020;0,2412;0,0000;3,0000;3,0000
6638;КАРУСЕЛЬ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;59,2788;112,2082;58,0000;58,0000
6859;МИР (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;off;08.01.2020;0,3948;0,0000;3,0000;3,0000
6859;МИР (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;16,0076;2,8460;51,0000;51,0000
7161;СУПЕР (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;off;08.01.2020;0,2096;0,0000;16,0000;16,0000
7161;СУПЕР (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;4,3320;0,0000;68,0000;68,0000
7167;ЦИФРОВОЙ РЕКЛАМНЫЙ КАНАЛ МУЛЬТ ПЛЮС (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;off;08.01.2020;0,0168;0,0000;3,0000;3,0000
7167;ЦИФРОВОЙ РЕКЛАМНЫЙ КАНАЛ МУЛЬТ ПЛЮС (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;0,7248;0,0000;29,0000;29,0000
7169;ДЕТСКИЙ РЕКЛАМНЫЙ КАНАЛ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;0,6363;0,0000;9,0000;9,0000
12006;ЕВРОНОВОСТИ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;off;08.01.2020;0,0364;0,0000;2,0000;2,0000
12006;ЕВРОНОВОСТИ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;0,6797;0,0000;25,0000;25,0000
12169;СПАС (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;off;08.01.2020;0,0300;0,0000;3,0000;3,0000
12169;СПАС (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;5,4395;0,5374;39,0000;39,0000
12428;РЕКЛАМНЫЙ КАНАЛ ФЕНИКС (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;4,4815;0,0000;51,0000;51,0000
12901;ОТР (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;off;08.01.2020;0,2043;0,0000;6,0000;6,0000
12901;ОТР (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;1,4094;0,0000;6,0000;6,0000
